CFP,COD_SAP,UNIDADE,CFP_LOCALIDADE,MUNICÍPIO,CÓDIGO_SIAFI_MUNICÍPIO,CÓDIGO_IBGE_MUNICÍPIO,LONGITUDE,LATITUDE,COD_MICRORREGIÃO,NOME_MICRORREGIÃO,COD_MESORREGIÃO,NOME_MESORREGIÃO,REGIÃO ADMINISTRATIVA,REGIÃO DE GOVERNO,REGIÃO METROPOLIATANA
7.93,2083,Centro de Treinamento SENAI  - GERALDO VIEIRA MARTINS,793 - SANTA CRUZ DO RIO PARDO,TIMBURI,7193,3554607,"-49,60354289","-23,20236338",35040,Ourinhos,3510,Assis,de Marília,de Ourinhos,-
7.91,2063,Escola SENAI LUIZ MASSA,791 - BOTUCATU,TORRE DE PEDRA,3227,3554656,"-48,19823884","-23,24376953",35023,Botucatu,3504,Bauru,de Sorocaba,de Botucatu,-
7.90,2066,Centro de Treinamento SENAI  - EDWARD SÁVIO,790 - JAÚ,TORRINHA,7195,3554706,"-48,17215759","-22,42749361",35021,Jaú,3504,Bauru,de Campinas,de Rio Claro,-
06.03,2025,Escola SENAI HENRIQUE LUPO,603 - ARARAQUARA,TRABIJU,826,3554755,"-48,34018339","-22,03807365",35024,Araraquara,3505,Araraquara,Central,de Araraquara,-
03.01,2035,Escola SENAI FÉLIX GUISARD,301 - TAUBATÉ,TREMEMBÉ,7197,3554805,"-45,55074688","-22,96041521",35050,São José dos Campos,3513,Vale do Paraíba Paulista,de São José dos Campos,de Taubaté,do Vale do Paraíba e Litoral Norte
8.50,2077,Escola SENAI DE VOTUPORANGA,850 - VOTUPORANGA,TRÊS FRONTEIRAS,7199,3554904,"-50,88488279","-20,2280128",35003,Votuporanga,3501,São José do Rio Preto,de São José do Rio Preto,de Jales,-
5.91,2068,Escola SENAI DE BRAGANÇA PAULISTA,591 - BRAGANÇA PAULISTA,TUIUTI,2955,3554953,"-46,69702386","-22,81475616",35048,Bragança Paulista,3512,Macro Metropolitana Paulista,de Campinas,de Bragança Paulista,-
9.27,2033,Escola SENAI JOSÉ POLIZOTTO,927 - MARÍLIA,TUPÃ,7201,3555000,"-50,51400642","-21,93482151",35038,Marília,3509,Marília,de Marília,de Tupã,-
9.14,2052,Escola SENAI SANTO PASCHOAL CREPALDI,914 - PRESIDENTE PRUDENTE,TUPI PAULISTA,7203,3555109,"-51,57672058","-21,38639532",35036,Presidente Prudente,3508,Presidente Prudente,de Presidente Prudente,de Dracena,-
9.90,2073,Escola SENAI AVAK BEDOUIAN,990 - BIRIGÜI,TURIÚBA,7205,3555208,"-50,10944175","-20,95023509",35018,Birigui,3503,Araçatuba,de Araçatuba,de Araçatuba,-
8.50,2077,Escola SENAI DE VOTUPORANGA,850 - VOTUPORANGA,TURMALINA,7207,3555307,"-50,47772943","-20,05126862",35003,Votuporanga,3501,São José do Rio Preto,de São José do Rio Preto,de Fernandópolis,-
08.01,2030,Escola SENAI ANTONIO DEVISATE,801 - SÃO JOSÉ DO RIO PRETO,UBARANA,2971,3555356,"-49,71967239","-21,162471",35004,São José do Rio Preto,3501,São José do Rio Preto,de São José do Rio Preto,de São José do Rio Preto,-
03.02,2022,Escola SENAI SANTOS DUMONT,302 - SÃO JOSÉ DOS CAMPOS,UBATUBA,7209,3555406,"-45,07209148","-23,43596498",35050,São José dos Campos,3513,Vale do Paraíba Paulista,de São José dos Campos,de Caraguatatuba,do Vale do Paraíba e Litoral Norte
07.01,2062,Escola SENAI JOÃO MARTINS COUBE,701 - BAURU,UBIRAJARA,7211,3555505,"-49,66327167","-22,52383545",35020,Bauru,3504,Bauru,de Bauru,de Bauru,-
